2219000311,高等数学B(1),2013材料学院**/2013计算机与软件学院**,胡自胜,"周二1,2(H3-203);周四3,4(H3-203);单周五1,2(H3-202)"
2219000313,高等数学B(1),2013材料学院**/2013计算机与软件学院**,顾燕红,"周二1,2(H3-201);周四3,4(H3-201);单周五1,2(H3-104)"
2219000314,高等数学B(1),2013材料学院**/2013计算机与软件学院**,吴向平,"周二1,2(H3-104);周四3,4(H3-104);双周五1,2(H3-104)"
2219000315,高等数学B(1),2013材料学院**/2013计算机与软件学院**,汤跃宝,"周二1,2(H3-103);周四3,4(H3-103);单周五1,2(H3-102)"
2219000316,高等数学B(1),2013材料学院**/2013计算机与软件学院**,赵冰,"周二1,2(H3-102);周四3,4(H3-102);双周五1,2(H3-102)"
2219000317,高等数学B(1),2013材料学院**/2013计算机与软件学院**,李兰,"周二1,2(H3-204);周四3,4(H3-204);双周五1,2(H3-204)"
